modeldate,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,,,,,,
11/20/2019,Adults,41.620321,45.32887,37.911773,53.447527,58.038488,48.856566,1/28/2020 22:22,46.763548,50.703753,42.823344,41.031253,45.225257,36.837249
11/19/2019,Voters,44.760909,49.032581,40.489237,51.559897,55.809412,47.310382,1/28/2020 22:24,46.816007,50.730362,42.901652,41.074449,45.232797,36.916101
11/18/2019,Voters,44.87548,49.333562,40.417397,51.692546,56.179202,47.20589,1/27/2020 18:59,46.802471,50.85074,42.754202,41.09013,45.368609,36.81165
11/17/2019,Adults,41.599768,45.305349,37.894186,53.470903,58.056539,48.885266,1/27/2020 18:58,46.798455,50.851319,42.745592,41.082441,45.36528,36.799603
11/16/2019,All polls,42.890308,47.422836,38.357779,52.86921,57.484285,48.254136,1/27/2020 18:57,46.795158,50.851614,42.738701,41.075547,45.362315,36.788779
11/15/2019,Adults,41.860138,45.641806,38.07847,53.263666,57.89512,48.632213,1/26/2020 13:03,46.791601,50.85137,42.731832,41.068123,45.35887,36.777375
11/14/2019,Voters,44.825867,49.220424,40.431309,51.755869,56.242802,47.268935,1/26/2020 13:04,46.788141,50.851371,42.724911,41.060438,45.355069,36.765806
11/13/2019,All polls,43.074199,47.555072,38.593326,52.767053,57.3982,48.135905,1/26/2020 13:02,46.784691,50.854071,42.715311,41.053626,45.355271,36.75198
11/12/2019,Adults,41.824998,45.587168,38.062829,53.240979,57.84869,48.633267,1/26/2020 9:18,46.72663,50.772144,42.681117,41.0655,45.365425,36.765576
11/11/2019,Voters,44.827291,49.360122,40.294459,51.485976,56.069784,46.902168,1/26/2020 9:20,46.729851,50.749463,42.71024,41.10669,45.363666,36.849715
11/10/2019,All polls,43.016357,47.569099,38.463615,52.584269,57.312293,47.856246,1/26/2020 9:16,46.728284,50.75164,42.704928,41.099199,45.360369,36.838029
11/9/2019,Voters,44.827291,49.360123,40.294458,51.485976,56.069784,46.902167,1/24/2020 23:55,46.725737,50.752633,42.698841,41.089407,45.35455,36.824265
11/8/2019,Adults,41.824998,45.587167,38.06283,53.240979,57.848707,48.63325,1/24/2020 23:54,46.722829,50.753812,42.691846,41.081455,45.351675,36.811235
11/7/2019,All polls,43.016357,47.569111,38.463603,52.584269,57.312294,47.856245,1/24/2020 23:53,46.697248,50.804692,42.589803,41.295563,45.613641,36.977484
11/6/2019,Voters,43.952599,48.493761,39.411437,52.281616,56.922072,47.64116,1/23/2020 21:12,46.693927,50.807145,42.58071,41.285764,45.611061,36.960467
11/5/2019,Adults,41.050393,44.715936,37.38485,54.390733,58.999391,49.782074,1/23/2020 21:11,46.704101,50.781762,42.62644,41.262725,45.547629,36.977821
11/4/2019,All polls,42.635503,47.246317,38.024689,53.244073,58.049293,48.438854,1/23/2020 21:10,46.672362,50.700667,42.644057,41.041145,45.328741,36.75355
11/3/2019,Voters,42.908049,47.325412,38.490686,53.233921,57.460852,49.00699,1/22/2020 18:13,46.668787,50.701459,42.636116,41.033188,45.325956,36.74042
11/2/2019,Adults,41.008391,44.664998,37.351784,54.43823,59.012042,49.864417,1/22/2020 18:12,46.397097,50.414001,42.380192,40.927774,45.27898,36.576568
11/1/2019,All polls,41.909656,46.225103,37.59421,53.927913,58.304978,49.550849,1/22/2020 18:11,46.396053,50.418329,42.373778,40.92072,45.277788,36.563652
10/31/2019,Adults,41.171095,45.025221,37.31697,54.15958,58.436476,49.882684,1/21/2020 23:18,46.394853,50.422504,42.367201,40.913607,45.276131,36.551082
10/30/2019,Voters,42.893962,47.344404,38.44352,53.216538,57.44257,48.990507,1/21/2020 23:19,46.39398,50.427801,42.360159,40.905767,45.274424,36.537111
10/29/2019,All polls,42.222053,46.722197,37.721908,53.522698,57.514099,49.531297,1/21/2020 23:17,46.648645,50.772861,42.524429,40.409524,44.645798,36.17325
10/28/2019,Adults,41.591385,45.092224,38.090545,53.454896,57.089506,49.820287,1/20/2020 16:14,46.64684,50.773727,42.519954,40.405547,44.646929,36.164165
10/27/2019,Voters,43.86012,47.959696,39.760543,52.139452,55.843114,48.435791,1/20/2020 16:15,46.644677,50.776737,42.512617,40.401616,44.65099,36.152241
10/26/2019,All polls,42.713089,47.100315,38.325864,52.823916,56.34354,49.304291,1/20/2020 16:13,46.642448,50.77924,42.505657,40.397534,44.654444,36.140625
10/25/2019,All polls,42.33786,46.987368,37.688353,52.985788,56.704971,49.266606,1/20/2020 6:58,46.6404,50.78147,42.49934,40.39457,44.65897,36.13017
10/24/2019,Voters,43.459467,47.733932,39.185002,52.611509,56.362032,48.860985,1/20/2020 7:05,46.64824,50.83326,42.46321,40.3376,44.57792,36.09727
10/23/2019,Adults,40.825079,44.190846,37.459311,53.895235,57.83716,49.953309,1/20/2020 7:02,46.64467,50.83505,42.45428,40.33887,44.58676,36.09099
10/22/2019,Voters,43.459467,47.733932,39.185003,52.611509,56.362032,48.860985,1/20/2020 7:06,46.61763,50.78591,42.44934,40.3301,44.55841,36.10179
10/21/2019,All polls,42.33786,46.987369,37.688351,52.985788,56.704977,49.2666,1/20/2020 7:00,46.61717,50.78851,42.44582,40.3403,44.56986,36.11074
10/20/2019,Adults,40.825079,44.190853,37.459305,53.895235,57.837134,49.953335,1/20/2020 7:03,46.61544,50.79018,42.44071,40.33772,44.57553,36.0999
10/19/2019,Voters,43.459467,47.733932,39.185003,52.611509,56.362032,48.860985,1/17/2020 11:16,46.61404,50.79313,42.43496,40.33614,44.58315,36.08914
10/18/2019,Adults,40.825079,44.190863,37.459295,53.895235,57.837147,49.953323,1/17/2020 11:14,46.6241,50.79133,42.45686,40.32357,44.57166,36.07549
10/17/2019,All polls,42.33786,46.987362,37.688358,52.985788,56.704978,49.266599,1/17/2020 11:14,46.62327,50.78565,42.46089,40.31409,44.56297,36.0652
10/16/2019,Voters,43.60321,47.931353,39.275066,52.372832,56.211309,48.534355,1/16/2020 16:47,46.63026,50.78395,42.47658,40.30826,44.55732,36.05921
10/15/2019,Adults,40.850083,44.18826,37.511907,53.846841,57.775522,49.91816,1/16/2020 16:45,46.55759,50.69633,42.41885,40.34586,44.60712,36.08461
10/14/2019,All polls,42.42082,47.07785,37.76379,52.866008,56.703979,49.028037,1/16/2020 16:45,46.16936,50.36176,41.97697,39.9946,44.28389,35.70531
10/13/2019,Voters,43.199324,47.387286,39.011363,52.646051,56.29244,48.999662,1/15/2020 15:01,46.1465,50.34454,41.94846,40.08598,44.33111,35.84084
10/12/2019,Adults,40.882533,44.222556,37.54251,53.823655,57.747756,49.899554,1/15/2020 14:59,46.14955,50.35238,41.94672,40.08556,44.33942,35.8317
10/11/2019,All polls,42.15023,46.636292,37.664168,53.026897,56.727257,49.326536,1/15/2020 14:59,46.15236,50.36126,41.94345,40.08596,44.34889,35.82302
10/10/2019,Voters,43.465981,47.800282,39.131681,52.381235,56.184479,48.57799,1/14/2020 12:16,46.15164,50.35744,41.94584,40.08614,44.34466,35.82762
10/9/2019,Adults,41.013822,44.480936,37.546708,53.657616,57.557885,49.757346,1/14/2020 12:14,46.84031,51.16859,42.51204,40.18811,44.7089,35.66732
10/8/2019,All polls,42.304678,46.843252,37.766104,52.792534,56.376478,49.208589,1/14/2020 12:14,46.91247,51.26868,42.55626,40.03913,44.55721,35.52105
10/7/2019,Adults,41.034345,44.479735,37.588955,53.614264,57.513643,49.714885,1/13/2020 16:56,46.89501,51.22849,42.56153,40.04539,44.52694,35.56384
10/6/2019,Voters,43.423036,47.635135,39.210938,52.363178,56.150609,48.575746,1/13/2020 16:57,46.89267,51.23162,42.55373,40.04708,44.5363,35.55785
